AuthorID,Author,Date,Content,Attachments,Reactions
"1352688054468608111","Dyno","2025-03-21T16:59:24.2140000+00:00","⭐ **2** | #⊱・🗺️・international-discussion","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-21T21:05:33.0960000+00:00","⭐ **6** | #⊱・📚・lessons","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-21T21:08:45.4510000+00:00","⭐ **7** | #⊱・📚・lessons","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-22T06:10:24.5900000+00:00","⭐ **5** | #⊱・📢・server-announcement","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-22T15:43:38.2730000+00:00","⭐ **7** | #⊱・🎭・art","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-23T05:49:55.5790000+00:00","⭐ **3** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T06:21:40.8870000+00:00","⭐ **5** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T06:24:58.5050000+00:00","⭐ **6** | #⊱・☕・chillchat","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-23T06:47:20.1330000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T06:48:31.9150000+00:00","⭐ **4** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T07:36:09.9030000+00:00","⭐ **0** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T08:43:33.0240000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T09:25:31.5370000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T10:49:19.1130000+00:00","⭐ **2** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T11:55:28.3650000+00:00","⭐ **1** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T13:03:56.2260000+00:00","⭐ **2** | #⊱・🎙・Mabased Stage [voice]","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T13:14:51.2400000+00:00","⭐ **2** | #⊱・🎙・Mabased Stage [voice]","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-23T18:00:03.9810000+00:00","⭐ **3** | #Forum Ngebul Mabased [voice]","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-24T04:32:01.9620000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T04:44:32.9620000+00:00","⭐ **1** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T05:49:45.8630000+00:00","⭐ **2** | #⊱・🎭・art","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T06:51:57.2340000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T06:56:24.4700000+00:00","⭐ **4** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T07:07:07.4630000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T07:16:06.4470000+00:00","⭐ **3** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T07:42:41.0180000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T08:00:49.1040000+00:00","⭐ **8** | #⊱・🎭・art","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T08:34:42.1980000+00:00","⭐ **3** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T09:06:15.8920000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T09:13:37.3940000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T09:15:47.0490000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T09:38:00.8440000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T10:11:20.0700000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T10:43:55.7840000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T10:47:20.0940000+00:00","⭐ **6** | #⊱・☕・chillchat","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-24T11:18:06.2960000+00:00","⭐ **7** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T11:44:43.0540000+00:00","⭐ **5** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T11:53:15.5320000+00:00","⭐ **4** | #⊱・☕・chillchat","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-24T12:05:58.4660000+00:00","⭐ **6** | #⊱・☕・chillchat","","⭐ (3)"
"1352688054468608111","Dyno","2025-03-24T12:17:07.2600000+00:00","⭐ **16** | #⊱・☕・chillchat","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-24T14:28:45.1760000+00:00","⭐ **1** | #⊱・🎭・art","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T16:39:23.3170000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T16:53:57.0880000+00:00","⭐ **3** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T17:09:46.0880000+00:00","⭐ **5** | #⊱・☕・chillchat","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-24T17:44:01.3640000+00:00","⭐ **4** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T17:53:55.5540000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T17:56:40.3960000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T18:21:28.4540000+00:00","⭐ **5** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T19:00:42.6340000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T19:45:46.3020000+00:00","⭐ **5** | #⊱・☕・chillchat","","⭐ (3)"
"1352688054468608111","Dyno","2025-03-24T19:46:09.3080000+00:00","⭐ **3** | #⊱・☕・chillchat","","⭐ (2)"
"1352688054468608111","Dyno","2025-03-24T19:54:52.8490000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T20:41:32.9370000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T20:42:10.7190000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T22:18:23.0370000+00:00","⭐ **4** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-24T22:44:09.7660000+00:00","⭐ **2** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-25T04:26:08.9910000+00:00","⭐ **1** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-25T07:23:51.7130000+00:00","⭐ **6** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-25T13:33:35.3370000+00:00","⭐ **6** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-25T20:44:35.6740000+00:00","⭐ **7** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-29T07:12:29.9620000+00:00","⭐ **7** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-29T07:23:13.0500000+00:00","⭐ **10** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-30T10:04:13.7750000+00:00","⭐ **6** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-30T10:05:23.0710000+00:00","⭐ **9** | #⊱・🗺️・international-discussion","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-30T10:06:08.1570000+00:00","⭐ **6** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-30T10:14:14.0980000+00:00","⭐ **8** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-30T11:25:46.9540000+00:00","⭐ **5** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-30T11:31:34.0210000+00:00","⭐ **7** | #⊱・☕・chillchat","","⭐ (1)"
"1352688054468608111","Dyno","2025-03-30T12:22:26.2210000+00:00","⭐ **8** | #⊱・☕・chillchat","","⭐ (1)"
